method,accuracy,training_time,prediction_time,peak_memory_mb
RFF (1800 components),0.4060234244283324,21.841619968414307,0.20564889907836914,95.90625
Nyström (1000 components),0.5662297824874511,36.07835602760315,0.13003277778625488,160.828125
PyTorch CNN,0.964026770775237,1927.4606630802155,1.8610219955444336,-683.203125
